Action: improve | review | Learn | conjugate | listen | compose | errors
Result: new | familiar | known | 0 | 0.5 | 1
sDay: sprintDay ; A/P: active | passive ; warning: starting row = 5 is fixed
ID	ACTION	RESULT	DURATION	SDAY	A/P
348	learn	k	3	5	a
349	learn	k	32	5	a
350	learn	k	4	5	a
351	learn	k	2	5	a
352	learn	k	4	5	a
353	learn	k	4	5	a
354	learn	k	4	5	a
355	learn	k	4	5	a
26	review	1	8	5	a
27	review	1	5	5	a
28	review	1	4	5	a
30	review	1	3	5	a
31	review	1	4	5	a
77	review	1	4	5	a
82	review	1	7	5	a
93	review	1	4	5	a
94	review	1	4	5	a
104	review	1	4	5	a
146	review	1	7	5	a
150	review	1	6	5	a
225	review	1	7	5	a
226	review	1	4	5	a
227	review	1	5	5	a
228	review	1	4	5	a
229	review	1	5	5	a
230	review	1	5	5	a
231	review	1	4	5	a
232	review	1	3	5	a
233	review	1	3	5	a
234	review	1	3	5	a
235	review	1	3	5	a
356	learn	k	178	5	a
357	learn	k	81	5	a
358	learn	k	6	5	a
359	learn	k	5	5	a
360	learn	k	4	5	a
361	learn	k	10	5	a
362	learn	k	8	5	a
363	learn	n	44	5	a
364	learn	k	15	5	a
365	learn	k	11	5	a
366	learn	n	8	5	a
367	learn	k	13	5	a
366	learn	linked	9	5	a
368	learn	k	10	5	a
369	learn	k	6	5	a
370	learn	k	8	5	a
371	learn	k	6	5	a
372	learn	k	4	5	a
373	learn	k	6	5	a
374	learn	k	9	5	a
375	learn	n	11	5	a
236	review	1	7	5	a
237	review	1	5	5	a
238	review	1	8	5	a
239	review	1	8	5	a
240	review	1	4	5	a
241	review	1	4	5	a
242	review	1	3	5	a
243	review	1	2	5	a
244	review	1	3	5	a
245	review	1	6	5	a
246	review	1	4	5	a
247	review	1	6	5	a
248	review	1	6	5	a
249	review	1	2	5	a
250	review	1	4	5	a
251	review	1	3	5	a
252	review	1	4	5	a
253	review	1	3	5	a
254	review	1	6	5	a
255	review	1	7	5	a
256	review	1	5	5	a
257	review	1	4	5	a
258	review	1	5	5	a
259	review	1	4	5	a
260	review	1	3	5	a
376	learn	n	10	5	a
377	learn	n	7	5	a
378	learn	n	7	5	a
379	learn	k	6	5	a
380	learn	k	6	5	a
381	learn	k	4	5	a
382	learn	k	6	5	a
383	learn	k	4	5	a
384	learn	n	9	5	a
385	learn	k	6	5	a
386	learn	k	5	5	a
387	learn	k	5	5	a
388	learn	k	6	5	a
376	learn	linked	4	5	a
377	learn	linked	8	5	a
378	learn	linked	4	5	a
384	learn	linked	10	5	a
389	learn	k	7	5	a
390	learn	k	5	5	a
391	learn	k	4	5	a
392	learn	k	5	5	a
393	learn	k	6	5	a
394	learn	k	5	5	a
395	learn	k	4	5	a
396	learn	k	4	5	a
397	learn	k	5	5	a
398	learn	k	6	5	a
399	learn	n	6	5	a
400	learn	k	4	5	a
401	learn	n	30	5	a
402	learn	k	6	5	a
403	learn	k	6	5	a
404	learn	k	6	5	a
405	learn	k	15	5	a
401	learn	linked	6	5	a
2920	verbs	1	6	5	a
2868	verbs	1	7	5	a
3013	verbs	1	2	5	p
2997	verbs	1	3	5	a
3003	verbs	1	3	5	a
2999	verbs	1	2	5	p
3087	verbs	1	2	5	p
3015	verbs	1	1	5	a
2894	verbs	0	12	5	a
3000	verbs	1	4	5	p
2947	verbs	1	3	5	a
2918	verbs	1	2	5	a
3119	verbs	1	2	5	a
2959	verbs	1	2	5	p
3007	verbs	1	2	5	p
3076	verbs	1	1	5	a
2993	verbs	1	1	5	p
3083	verbs	1	1	5	p
2849	verbs	1	5	5	a
2995	verbs	1	2	5	a
406	learn	n	4	8	a
407	learn	k	6	8	a
408	learn	k	8	8	a
409	learn	k	6	8	a
410	learn	k	6	8	a
411	learn	k	6	8	a
412	learn	k	4	8	a
413	learn	k	14	8	a
414	learn	k	6	8	a
415	learn	k	4	8	a
416	learn	k	9	8	a
417	learn	k	6	8	a
418	learn	k	5	8	a
419	learn	n	10	8	a
420	learn	k	7	8	a
421	learn	k	5	8	a
422	learn	k	5	8	a
423	learn	k	7	8	a
424	learn	n	9	8	a
425	learn	k	6	8	a
426	learn	k	6	8	a
427	learn	k	6	8	a
428	learn	k	5	8	a
429	learn	k	42	8	a
430	learn	k	5	8	a
431	learn	k	4	8	a
432	learn	n	9	8	a
